lat,lon,city,state,address,elementary,middle,high,property_url
42.142717,-71.079388,Stoughton,MA,16 Camelot Ct Unit 16,Dawe,O'donnell,Stoughton Hs,https://www.realtor.com/realestateandhomes-detail/16-Camelot-Ct_Stoughton_MA_02072_M45584-44479
42.08405,-71.136167,Stoughton,MA,5 Eagle Rock Ext,Gibbons,O'donnell,Stoughton High,https://www.realtor.com/realestateandhomes-detail/5-Eagle-Rock-Rd_Stoughton_MA_02072_M93556-79824
42.1153,-71.124106,Stoughton,MA,24 Spallus Rd,Gibbons,,Stoughton High School,https://www.realtor.com/realestateandhomes-detail/24-Spallus-Rd_Stoughton_MA_02072_M34680-41779
42.140072,-71.133347,Stoughton,MA,11 Elderwood Dr Unit 11,Hansen,O'donnell,Stoughton,https://www.realtor.com/realestateandhomes-detail/11-Elderwood-Dr_Stoughton_MA_02072_M42621-19339
42.121931,-71.105779,Stoughton,MA,84 Summer Ave Apt 3,Gibbons Elementary,Stoughton Middle,Stoughton High,https://www.realtor.com/realestateandhomes-detail/84-Summer-Ave-Apt-3_Stoughton_MA_02072_M37479-97693
42.103184,-71.087536,Stoughton,MA,163 Atkinson Ave,South Elementary School,Joseph H. Gibbs,Stoughton High,https://www.realtor.com/realestateandhomes-detail/163-Atkinson-Ave_Stoughton_MA_02072_M38752-94668
42.130802,-71.127666,Stoughton,MA,1716 Central St,"Hansen, Wilkins Elementary",O'donnell,Stoughton H.S.,https://www.realtor.com/realestateandhomes-detail/1716-Central-St_Stoughton_MA_02072_M45420-19767
42.121718,-71.070086,Stoughton,MA,39 Brewster Rd Unit 39,South,O'donnell,Stoughton,https://www.realtor.com/realestateandhomes-detail/39-Brewster-Rd_Stoughton_MA_02072_M34871-49668
42.128633,-71.0995,Stoughton,MA,106 Monk St,,,Stoughton High,https://www.realtor.com/realestateandhomes-detail/106-Monk-St_Stoughton_MA_02072_M37992-72145
42.132303,-71.100797,Stoughton,MA,24 Warren Ave,Dawe & West,O'donnell,Stoughton,https://www.realtor.com/realestateandhomes-detail/24-Warren-Ave_Stoughton_MA_02072_M32114-92881
42.144359,-71.094953,Stoughton,MA,29 Lillian Rd,,,Stoughton,https://www.realtor.com/realestateandhomes-detail/29-Lillian-Rd_Stoughton_MA_02072_M44742-60714
42.1374,-71.142713,Stoughton,MA,55 Brian Dr Apt D,Helen Hansen Elementary,O'donnell Middle School,Stoughton High School,https://www.realtor.com/realestateandhomes-detail/55-Brian-Dr-Apt-D_Stoughton_MA_02072_M30927-51329
42.138491,-71.138259,Stoughton,MA,6 Jennifer Ln Unit 6,Hanson,O'donnell,Stoughton High,https://www.realtor.com/realestateandhomes-detail/6-Jennifer-Ln_Stoughton_MA_02072_M40886-70008
42.114845,-71.102567,Stoughton,MA,93 Rogers Dr,Gibbons Elem.School,O'donnell Middle School,Stoughton High School,https://www.realtor.com/realestateandhomes-detail/93-Rogers-Dr_Stoughton_MA_02072_M30674-22747
42.122,-71.109854,Stoughton,MA,138 Water St,,Stoughton Jr High,Stoughton Sr High,https://www.realtor.com/realestateandhomes-detail/138-Water-St_Stoughton_MA_02072_M39311-09603
42.436823,-71.505779,Stow,MA,11 Crescent St,Center School,Hale Middle School,,https://www.realtor.com/realestateandhomes-detail/11-Crescent-St_Stow_MA_01775_M32933-14889
42.436439,-71.48878,Stow,MA,7 Faxon Dr Unit 7,Center School,Hale School,Nashoba Regional,https://www.realtor.com/realestateandhomes-detail/7-Faxon-Dr_Stow_MA_01775_M42421-85209
42.452876,-71.538012,Stow,MA,10 Lowell Dr,Center,"Hale, Amsa, Masters Academy","Nashoba, Amsa, Masters Academy",https://www.realtor.com/realestateandhomes-detail/10-Lowell-Dr_Stow_MA_01775_M33524-97577
42.398579,-71.489792,Stow,MA,51 Hale Rd,,,Nashoba,https://www.realtor.com/realestateandhomes-detail/51-Hale-Rd_Stow_MA_01775_M33210-73461
42.419404,-71.53853,Stow,MA,13 Edson St,Center School,Hale Middle School,Nashoba Regional High School,https://www.realtor.com/realestateandhomes-detail/13-Edson-St_Stow_MA_01775_M35179-24948
42.464661,-71.542051,Stow,MA,493 Taylor Rd,Center School,Hale Middle School,Nashoba Regional High School,https://www.realtor.com/realestateandhomes-detail/493-Taylor-Rd_Stow_MA_01775_M49747-10987
